,coh_STN_1_to_ECOG_1_theta,icoh_STN_1_to_ECOG_1_theta,coh_STN_1_to_ECOG_1_alpha,icoh_STN_1_to_ECOG_1_alpha,coh_STN_1_to_ECOG_1_low beta,icoh_STN_1_to_ECOG_1_low beta,coh_STN_1_to_ECOG_1_high beta,icoh_STN_1_to_ECOG_1_high beta,time
0,0.9999999999999999,-1235.493199245875,1.0,51.925193371585465,0.9999999999999997,1468.9810358694504,1.0,415.887399619744,1640163275.8207695
1,0.0,1.0,,1.0,1.2649110640673518,0.9999999999999997,,-1.0000000000000002,1640163289.798542
2,1.5491933384829668,1.0217340532565733,1.7320508075688774,-1.3355877536679863,0.7071067811865475,-1.1068324403553287,,-1.134126607591199,1640163289.8265383
3,0.0,0.9187617078662141,1.414213562373095,0.4876627987757055,0.7559289460184544,-1.3427080444966921,,-0.4615596133004507,1640163289.854554
4,-0.9128709291752769,-0.3571061350099397,-0.7453559924999299,-0.4310320102961654,-0.5976143046671968,-0.5234446548455179,-2.23606797749979,-0.1161762847494657,1640163289.8805525
5,0.0,-0.7467648659553494,-0.7745966692414834,0.5195306492437926,0.7071067811865475,-0.006309083851625632,0.0,2.0839441677592694,1640163289.9066317
6,-1.0,0.47108143414886955,0.0,-1.0544800431937693,0.7337993857053429,0.567293055566229,0.0,-0.880292980020066,1640163289.932573
7,0.0,-0.5046071221829872,0.0,0.878248111744379,0.7559289460184544,-1.4745296546509832,0.0,-2.229156575034814,1640163289.9595714
8,0.0,-0.15756034269178434,0.0,2.422854462208596,0.0,-0.46922102585398134,0.0,0.25306565494017,1640163289.9855871
9,0.0,-0.09421356996490501,0.0,0.21237999957847176,0.0,-2.708156987091412,0.0,-1.1501720604821157,1640163290.0115945
10,0.0,-1.4700627823981025,0.0,-0.8320868299056777,0.0,0.07658714780464172,0.0,0.023074224692072577,1640163290.0375905
11,0.0,0.9371106466284281,-1.044465935734187,-0.363420573281132,0.0,-0.3223580456691343,0.0,0.0016612419656302773,1640163290.0636072
12,0.0,1.0072610057993912,-1.0408329997330663,-0.6779471389477429,0.0,-0.45789390227350835,0.0,-0.28192001245864656,1640163290.0898514
13,0.0,1.2267611351041547,-2.4494897427831783,0.08187331673606713,0.0,0.4740272687845217,-2.6457513110645907,-0.1352914476162399,1640163290.1156201
14,0.0,3.0,0.0,2.9788139913931637,0.0,-1.4592644647667434,0.0,-1.6840711637423633,1640163290.1427548
15,2.412090756622109,-0.2818917929208644,0.0,-0.7715132762268997,0.0,0.31278007863735025,0.0,0.7282432545287864,1640163290.1686244
16,0.0,0.005245996813555444,0.0,0.06012915876690555,0.0,-0.1726627879709261,0.0,0.945131414338482,1640163290.1946306
17,0.0,-0.9010912347325041,-0.9045340337332908,0.177708350083508,0.0,-0.24612647477908664,0.0,0.13929491534790042,1640163290.2206373
18,-1.2583057392117916,0.2551516588225372,1.7097008285302207,-0.5520604194320932,0.0,0.6966169860317383,0.0,-0.5968894340793065,1640163290.2456446
19,-1.2403473458920844,-0.4140223995431737,-0.8606629658238704,0.2049841141859274,0.0,0.34948583294900454,0.0,1.2934936161460944,1640163290.2716706
20,-1.224744871391589,-0.2510342360756559,0.0,-1.3339741621704317,0.0,-0.5345650812524517,0.0,1.0182704243333454,1640163290.2986655
21,-2.934057881530955,2.454416434282322,1.6848470783484637,0.3673743381298895,2.0,-0.5543207910505655,0.0,0.32157234274977775,1640163290.3266654
22,-0.9789450103725608,0.8919614850104671,0.0,-3.0,-1.0,0.631440896454419,3.0,0.20517443734597954,1640163290.354671
23,0.0,0.5843004825618028,0.0,-0.16745433506430346,-1.0,0.09117403719959952,0.0,1.3257190348393881,1640163290.380687
24,0.0,-0.7166438135096013,0.0,0.008148544117715376,1.8898223650461359,0.3960065359234809,0.0,-0.6954997819893376,1640163290.407687
25,0.0,2.808161098988116,1.7237832147426693,-0.5474728208301693,0.0,-1.0571707009699582,0.0,-0.7132767472534501,1640163290.4347
26,0.0,-0.2802568168910103,1.6641005886756874,0.22398865792981354,0.0,-0.24272861756275557,0.0,-0.05612226212406539,1640163290.4616995
27,0.0,-0.8598789390616514,0.0,-0.23113082064328414,0.0,-0.562529019389421,0.0,0.6880432906363898,1640163290.4877062
28,0.0,1.9245851381642165,0.0,0.5108312831363097,0.0,0.29703056537888917,0.0,0.40283519595208583,1640163290.5137198
29,-1.0954451150103321,-0.2514550163051343,0.0,-0.3730102013901376,0.0,-0.8221676673852116,0.0,-0.3247279904606174,1640163290.5457196
30,2.067815772491717,1.4320720617972182,0.0,0.18805118161670098,0.0,0.35353184407241967,0.0,-3.0,1640163290.573727
31,0.0,-0.47142424548540135,-2.4494897427831783,1.1298647120636662,0.0,-0.17769265167811588,0.0,1.2835867174463391,1640163290.6008158
32,0.0,-0.814527430356358,0.0,0.4248450262893766,0.0,0.3164911288083114,0.0,-0.9981333140911441,1640163290.6277523
33,2.030076875690209,-0.1240391452142342,-0.8329931278350429,-0.4908505243679116,0.0,-0.26185012646070127,0.0,0.48179895083865293,1640163290.6537557
34,-1.0145993123917847,-0.4185447570269856,0.0,-0.26688991562417713,2.091650066335189,-0.042073386830215734,0.0,0.3963644993900142,1640163290.6797545
35,0.0,-0.7457933859756826,0.0,-0.13910413978708255,0.0,-0.06623472981315877,0.0,-3.0,1640163290.706761
36,-1.0281745265969475,-0.1893335855306547,-2.396117549358718,-0.797059976578977,2.0275875100994067,-0.059571394397038395,0.0,-0.14872521138851066,1640163290.7337763
